id,area,en,ka,ru,de,fr,placeholders,ka corrected,ru corrected,de corrected,fr corrected,comment
ui.card.reviewedBy,interface,Reviewed by {who},შეამოწმა: {who},Проверил(а): {who},Geprüft von {who},Vérifiée par {who},{who},,,,,
ui.server.Only reviewers can sign off rules,interface,Only accountants listed as reviewers can sign rules off.,წესების დადასტურება მხოლოდ შემმოწმებლად დანიშნულ ბუღალტრებს შეუძლიათ.,"Подтверждать правила могут только бухгалтеры, назначенные проверяющими.",Nur als Prüfer eingetragene Steuerberater können Regeln freigeben.,Seuls les comptables désignés comme vérificateurs peuvent valider les règles.,,,,,,
ui.server.The rule changed since you opened it; reload and review again,interface,This rule changed since you opened it. Reload the page and review it again.,"წესი შეიცვალა მას შემდეგ, რაც გახსენით. განაახლეთ გვერდი და ხელახლა შეამოწმეთ.",Правило изменилось с момента открытия. Обновите страницу и проверьте его снова.,"Die Regel wurde geändert, seit Sie sie geöffnet haben. Laden Sie die Seite neu und prüfen Sie erneut.",La règle a changé depuis son ouverture. Rechargez la page et vérifiez-la à nouveau.,,,,,,
ui.books.title,interface,Sales & expenses,გაყიდვები და ხარჯები,Продажи и расходы,Verkäufe & Ausgaben,Ventes et dépenses,,,,,,
ui.books.prevMonth,interface,Previous month,წინა თვე,Предыдущий месяц,Vorheriger Monat,Mois précédent,,,,,,
ui.books.nextMonth,interface,Next month,შემდეგი თვე,Следующий месяц,Nächster Monat,Mois suivant,,,,,,
ui.books.add,interface,+ Add record,+ ჩანაწერის დამატება,+ Добавить запись,+ Eintrag hinzufügen,+ Ajouter une écriture,,,,,,
ui.books.addTitle,interface,New record,ახალი ჩანაწერი,Новая запись,Neuer Eintrag,Nouvelle écriture,,,,,,
ui.books.import,interface,Import bank statement,საბანკო ამონაწერის იმპორტი,Импорт банковской выписки,Kontoauszug importieren,Importer un relevé bancaire,,,,,,
ui.books.income,interface,Sales,გაყიდვები,Продажи,Verkäufe,Ventes,,,,,,
ui.books.expense,interface,Expenses,ხარჯები,Расходы,Ausgaben,Dépenses,,,,,,
ui.books.outputVat,interface,VAT on sales,დღგ გაყიდვებზე,НДС с продаж,MwSt. auf Verkäufe,TVA sur les ventes,,,,,,
ui.books.inputVat,interface,VAT on purchases,დღგ შესყიდვებზე,НДС по покупкам,Vorsteuer auf Einkäufe,TVA sur les achats,,,,,,
ui.books.vatPayable,interface,VAT to pay,გადასახდელი დღგ,НДС к уплате,Zu zahlende MwSt.,TVA à payer,,,,,,
ui.books.vatRefund,interface,VAT refundable,დასაბრუნებელი დღგ,НДС к возврату,Erstattungsfähige MwSt.,TVA remboursable,,,,,,
ui.books.sbTax,interface,Small business tax,მცირე ბიზნესის გადასახადი,Налог малого бизнеса,Kleinunternehmersteuer,Impôt de la petite entreprise,,,,,,
ui.books.count.one,interface,{n} record,n/a,{n} запись,{n} Eintrag,{n} écriture,{n},,,,,
ui.books.count.few,interface,n/a,n/a,{n} записи,n/a,n/a,{n},,,,,
ui.books.count.many,interface,n/a,n/a,{n} записей,n/a,n/a,{n},,,,,
ui.books.count.other,interface,{n} records,{n} ჩანაწერი,{n} записи,{n} Einträge,{n} écritures,{n},,,,,
ui.books.turnover,interface,"VAT-taxable sales, last 12 months","დღგ-ით დასაბეგრი გაყიდვები, ბოლო 12 თვე",Облагаемые НДС продажи за 12 месяцев,"Steuerpflichtige Verkäufe, letzte 12 Monate","Ventes imposables, 12 derniers mois",,,,,,
ui.books.turnoverHint,interface,"{start} – {end}, without VAT. Registering for VAT becomes mandatory once this passes {limit}.","{start} – {end}, დღგ-ის გარეშე. როცა ეს თანხა ზღვარს ({limit}) გადააჭარბებს, დღგ-ის გადამხდელად რეგისტრაცია სავალდებულო ხდება.","{start} – {end}, без НДС. Когда сумма превысит {limit}, регистрация плательщиком НДС станет обязательной.","{start} – {end}, ohne MwSt. Sobald der Betrag {limit} übersteigt, wird die Mehrwertsteuer-Registrierung Pflicht.","{start} – {end}, hors TVA. L’enregistrement à la TVA devient obligatoire au-delà de {limit}.",{start} {end} {limit},,,,,
ui.books.yearIncome,interface,Gross income this year,წლის შემოსავალი,Доход за год,Bruttoeinkommen dieses Jahr,Revenu brut de l’année,,,,,,
ui.books.yearHint,interface,"Small business tax is 1% while the year's income stays within {limit}, then 3%.","მცირე ბიზნესის გადასახადი 1%-ია, სანამ წლის შემოსავალი ზღვარს ({limit}) არ აღემატება, შემდეგ კი 3%.","Налог малого бизнеса — 1%, пока доход за год не превышает {limit}, затем 3%.","Die Kleinunternehmersteuer beträgt 1 %, solange das Jahreseinkommen {limit} nicht übersteigt, danach 3 %.","L’impôt de la petite entreprise est de 1 % tant que le revenu de l’année ne dépasse pas {limit}, puis de 3 %.",{limit},,,,,
ui.books.alert.vat.approaching,interface,"Sales over the last 12 months are {amount}, close to the {limit} VAT threshold. Once you pass it, you have 2 business days to register.",ბოლო 12 თვის გაყიდვები: {amount}. ეს ახლოსაა დღგ-ის რეგისტრაციის ზღვართან ({limit}); მისი გადაჭარბების შემდეგ რეგისტრაციისთვის 2 სამუშაო დღე გექნებათ.,"Продажи за 12 месяцев — {amount}, это близко к порогу НДС в {limit}. После превышения на регистрацию даётся 2 рабочих дня.",Die Verkäufe der letzten 12 Monate betragen {amount} und liegen nahe an der MwSt.-Schwelle von {limit}. Nach dem Überschreiten haben Sie 2 Arbeitstage für die Registrierung.,"Les ventes des 12 derniers mois s’élèvent à {amount}, près du seuil de TVA de {limit}. Une fois dépassé, vous aurez 2 jours ouvrables pour vous enregistrer.",{amount} {limit},,,,,
ui.books.alert.vat.exceeded,interface,"Sales over the last 12 months are {amount}, above the {limit} threshold: you must register for VAT within 2 business days.","ბოლო 12 თვის გაყიდვები: {amount}. ეს აღემატება დღგ-ის რეგისტრაციის ზღვარს ({limit}), ამიტომ დღგ-ის გადამხდელად 2 სამუშაო დღეში უნდა დარეგისტრირდეთ.","Продажи за 12 месяцев — {amount}, больше порога в {limit}: зарегистрируйтесь плательщиком НДС в течение 2 рабочих дней.",Die Verkäufe der letzten 12 Monate betragen {amount} und liegen über der Schwelle von {limit}: Sie müssen sich innerhalb von 2 Arbeitstagen für die MwSt. registrieren.,"Les ventes des 12 derniers mois s’élèvent à {amount}, au-delà du seuil de {limit} : vous devez vous enregistrer à la TVA dans les 2 jours ouvrables.",{amount} {limit},,,,,
ui.books.alert.sb.approaching,interface,"Income this year is {amount}, close to the {limit} small business limit. Above it the rate is 3%.",წლის შემოსავალი: {amount}. ეს ახლოსაა მცირე ბიზნესის ზღვართან ({limit}); მის ზემოთ განაკვეთი 3%-ია.,"Доход за год — {amount}, это близко к лимиту малого бизнеса в {limit}. Выше него ставка 3%.",Das Einkommen dieses Jahres beträgt {amount} und liegt nahe an der Kleinunternehmergrenze von {limit}. Darüber gilt 3 %.,"Le revenu de l’année s’élève à {amount}, près du plafond de la petite entreprise ({limit}). Au-delà, le taux est de 3 %.",{amount} {limit},,,,,
ui.books.alert.sb.exceeded,interface,"Income this year is {amount}, above {limit}: small business tax is 3% from the month the limit was passed.","წლის შემოსავალი: {amount}. ეს აღემატება მცირე ბიზნესის ზღვარს ({limit}), ამიტომ განაკვეთი 3%-ია იმ თვიდან, როცა ზღვარი გადაიჭარბა.","Доход за год — {amount}, больше {limit}: налог малого бизнеса составляет 3% с месяца превышения лимита.",Das Einkommen dieses Jahres beträgt {amount} und liegt über {limit}: Ab dem Monat der Überschreitung gilt 3 %.,"Le revenu de l’année s’élève à {amount}, au-delà de {limit} : le taux est de 3 % à partir du mois du dépassement.",{amount} {limit},,,,,
ui.books.returns,interface,For your returns,დეკლარაციებისთვის,Для деклараций,Für Ihre Erklärungen,Pour vos déclarations,,,,,,
ui.books.returnsHint,interface,"Figures for {month}, from your records. Check them against your invoices before filing on RS.ge.",პერიოდი: {month}. მონაცემები თქვენი ჩანაწერებიდანაა; RS.ge-ზე წარდგენამდე შეადარეთ ანგარიშ-ფაქტურებს.,Данные за {month} из ваших записей. Перед подачей на RS.ge сверьте их со счетами-фактурами.,Zahlen für {month} aus Ihren Einträgen. Gleichen Sie sie vor der Abgabe auf RS.ge mit Ihren Rechnungen ab.,"Chiffres de {month}, tirés de vos écritures. Vérifiez-les avec vos factures avant de déclarer sur RS.ge.",{month},,,,,
ui.books.returnVat,interface,VAT return,დღგ-ის დეკლარაცია,Декларация по НДС,Mehrwertsteuererklärung,Déclaration de TVA,,,,,,
ui.books.returnSb,interface,Small business return,მცირე ბიზნესის დეკლარაცია,Декларация малого бизнеса,Kleinunternehmer-Erklärung,Déclaration de petite entreprise,,,,,,
ui.books.copy,interface,Copy,კოპირება,Копировать,Kopieren,Copier,,,,,,
ui.books.copied,interface,Copied,დაკოპირდა,Скопировано,Kopiert,Copié,,,,,,
ui.books.unverified,interface,The rules used here were taken from the Tax Code but haven't been reviewed by an accountant yet.,"აქ გამოყენებული წესები საგადასახადო კოდექსიდანაა აღებული, მაგრამ ბუღალტერს ჯერ არ შეუმოწმებია.","Использованные здесь правила взяты из Налогового кодекса, но бухгалтер их ещё не проверил.","Die hier verwendeten Regeln stammen aus dem Steuergesetzbuch, wurden aber noch nicht von einem Steuerberater geprüft.","Les règles utilisées ici sont tirées du Code des impôts, mais n’ont pas encore été vérifiées par un comptable.",,,,,,
ui.books.records,interface,Records,ჩანაწერები,Записи,Einträge,Écritures,,,,,,
ui.books.empty,interface,"No records for this month yet. Add your sales and expenses, or import a bank statement.",ამ თვეში ჯერ ჩანაწერი არ არის. დაამატეთ გაყიდვები და ხარჯები ან შემოიტანეთ საბანკო ამონაწერი.,За этот месяц записей пока нет. Добавьте продажи и расходы или импортируйте банковскую выписку.,Für diesen Monat gibt es noch keine Einträge. Erfassen Sie Verkäufe und Ausgaben oder importieren Sie einen Kontoauszug.,Aucune écriture pour ce mois. Ajoutez vos ventes et dépenses ou importez un relevé bancaire.,,,,,,
ui.books.col.date,interface,Date,თარიღი,Дата,Datum,Date,,,,,,
ui.books.col.who,interface,Counterparty · description,კონტრაგენტი · აღწერა,Контрагент · описание,Geschäftspartner · Beschreibung,Tiers · description,,,,,,
ui.books.col.type,interface,Type,ტიპი,Тип,Art,Type,,,,,,
ui.books.col.amount,interface,Amount,თანხა,Сумма,Betrag,Montant,,,,,,
ui.books.col.vat,interface,VAT,დღგ,НДС,MwSt.,TVA,,,,,,
ui.books.type.income,interface,Sale,გაყიდვა,Продажа,Verkauf,Vente,,,,,,
ui.books.type.expense,interface,Expense,ხარჯი,Расход,Ausgabe,Dépense,,,,,,
ui.books.delete,interface,Delete,წაშლა,Удалить,Löschen,Supprimer,,,,,,
ui.books.confirmDelete,interface,Delete this record?,წავშალოთ ეს ჩანაწერი?,Удалить эту запись?,Diesen Eintrag löschen?,Supprimer cette écriture ?,,,,,,
ui.books.form.date,interface,Date,თარიღი,Дата,Datum,Date,,,,,,
ui.books.form.type,interface,Type,ტიპი,Тип,Art,Type,,,,,,
ui.books.form.amount,interface,"Amount, VAT included",თანხა დღგ-ის ჩათვლით,Сумма с НДС,Betrag inkl. MwSt.,Montant TTC,,,,,,
ui.books.form.counterparty,interface,Counterparty,კონტრაგენტი,Контрагент,Geschäftspartner,Tiers,,,,,,
ui.books.form.description,interface,Description,აღწერა,Описание,Beschreibung,Description,,,,,,
ui.books.form.vatAuto,interface,The amount includes 18% VAT,თანხა შეიცავს 18% დღგ-ს,Сумма включает 18% НДС,Der Betrag enthält 18 % MwSt.,Le montant comprend 18 % de TVA,,,,,,
ui.books.form.save,interface,Save,შენახვა,Сохранить,Speichern,Enregistrer,,,,,,
ui.books.form.required,interface,Enter a date and an amount greater than zero.,მიუთითეთ თარიღი და ნულზე მეტი თანხა.,Укажите дату и сумму больше нуля.,Geben Sie ein Datum und einen Betrag größer als null ein.,Indiquez une date et un montant supérieur à zéro.,,,,,,
ui.import.title,interface,Import a bank statement,საბანკო ამონაწერის იმპორტი,Импорт банковской выписки,Kontoauszug importieren,Importer un relevé bancaire,,,,,,
ui.import.desc,interface,"A CSV or Excel (.xlsx) export from your bank. Nothing is saved until you confirm, and rows you've already imported are skipped.","ბანკიდან ექსპორტირებული CSV ან Excel (.xlsx) ფაილი. დადასტურებამდე არაფერი შეინახება, უკვე შემოტანილი სტრიქონები კი გამოტოვდება.","Файл CSV или Excel (.xlsx), выгруженный из банка. Ничего не сохранится до подтверждения, а уже импортированные строки будут пропущены.",Ein CSV- oder Excel-Export (.xlsx) Ihrer Bank. Erst nach Ihrer Bestätigung wird etwas gespeichert; bereits importierte Zeilen werden übersprungen.,"Un export CSV ou Excel (.xlsx) de votre banque. Rien n’est enregistré avant votre confirmation, et les lignes déjà importées sont ignorées.",,,,,,
ui.import.choose,interface,Choose file,ფაილის არჩევა,Выбрать файл,Datei wählen,Choisir un fichier,,,,,,
ui.import.noFile,interface,No file chosen,ფაილი არ არის არჩეული,Файл не выбран,Keine Datei gewählt,Aucun fichier choisi,,,,,,
ui.import.reading,interface,Reading the file…,ფაილი იკითხება…,Читаем файл…,Datei wird gelesen …,Lecture du fichier…,,,,,,
ui.import.col.date,interface,Date,თარიღი,Дата,Datum,Date,,,,,,
ui.import.col.amount,interface,Amount (+ / −),თანხა (+ / −),Сумма (+ / −),Betrag (+ / −),Montant (+ / −),,,,,,
ui.import.col.income,interface,Money in,შემოსავალი,Приход,Eingang,Entrées,,,,,,
ui.import.col.expense,interface,Money out,გასავალი,Расход,Ausgang,Sorties,,,,,,
ui.import.col.counterparty,interface,Counterparty,კონტრაგენტი,Контрагент,Geschäftspartner,Tiers,,,,,,
ui.import.col.description,interface,Description,დანიშნულება,Назначение,Verwendungszweck,Libellé,,,,,,
ui.import.none,interface,—,—,—,—,—,,,,,,
ui.import.found,interface,"{total} rows: {income} incoming, {expense} outgoing.","{total} სტრიქონი: {income} შემოსავალი, {expense} გასავალი.","Строк: {total}. Поступлений: {income}, списаний: {expense}.","{total} Zeilen: {income} Eingänge, {expense} Ausgänge.","{total} lignes : {income} entrées, {expense} sorties.",{total} {income} {expense},,,,,
ui.import.duplicates,interface,{n} were imported before and will be skipped.,{n} უკვე შემოტანილია და გამოტოვდება.,Уже импортировано ранее и будет пропущено: {n}.,{n} wurden bereits importiert und werden übersprungen.,{n} ont déjà été importées et seront ignorées.,{n},,,,,
ui.import.skipped,interface,{n} rows without a date or amount were left out.,{n} სტრიქონი თარიღის ან თანხის გარეშე არ ჩაითვალა.,"Строк без даты или суммы: {n}, они не учтены.",{n} Zeilen ohne Datum oder Betrag wurden ausgelassen.,{n} lignes sans date ni montant ont été écartées.,{n},,,,,
ui.import.salesVat,interface,Incoming payments are sales that include 18% VAT,შემოსული თანხები გაყიდვებია და შეიცავს 18% დღგ-ს,Поступления — это продажи с 18% НДС,Eingänge sind Verkäufe mit 18 % MwSt.,Les entrées sont des ventes avec 18 % de TVA,,,,,,
ui.import.purchasesVat,interface,Outgoing payments are purchases with 18% VAT (backed by tax invoices),გასული თანხები შესყიდვებია 18% დღგ-ით (საგადასახადო ანგარიშ-ფაქტურებით),Списания — это покупки с 18% НДС (по налоговым счетам-фактурам),Ausgänge sind Einkäufe mit 18 % MwSt. (mit Steuerrechnungen),Les sorties sont des achats avec 18 % de TVA (justifiés par des factures fiscales),,,,,,
ui.import.confirm,interface,Import {n} records,{n} ჩანაწერის იმპორტი,Импортировать записей: {n},{n} Einträge importieren,Importer {n} écritures,{n},,,,,
ui.import.done,interface,"Done: {imported} records imported, {duplicates} already there.","მზადაა: შემოტანილია {imported} ჩანაწერი, {duplicates} უკვე არსებობდა.","Готово: импортировано {imported}, уже было {duplicates}.","Fertig: {imported} Einträge importiert, {duplicates} waren schon vorhanden.","Terminé : {imported} écritures importées, {duplicates} déjà présentes.",{imported} {duplicates},,,,,
ui.import.close,interface,Close,დახურვა,Закрыть,Schließen,Fermer,,,,,,
ui.server.import.error.no_header,interface,"Couldn't find the column headers (date, amount). Is this a bank statement export?","სვეტების სათაურები (თარიღი, თანხა) ვერ მოიძებნა. ეს საბანკო ამონაწერის ფაილია?","Не удалось найти заголовки столбцов (дата, сумма). Это выписка из банка?","Die Spaltenüberschriften (Datum, Betrag) wurden nicht gefunden. Ist das ein Kontoauszug?","Impossible de trouver les en-têtes de colonnes (date, montant). S’agit-il d’un relevé bancaire ?",,,,,,
ui.server.import.error.unreadable,interface,The file couldn't be read. Export it from your bank as CSV or .xlsx.,ფაილი ვერ წავიკითხე. ბანკიდან CSV ან .xlsx ფორმატით გადმოწერეთ.,Не удалось прочитать файл. Выгрузите его из банка в формате CSV или .xlsx.,Die Datei konnte nicht gelesen werden. Exportieren Sie sie bei Ihrer Bank als CSV oder .xlsx.,Le fichier n’a pas pu être lu. Exportez-le depuis votre banque en CSV ou en .xlsx.,,,,,,
ui.server.import.error.encoding,interface,The file's text encoding isn't supported. Save it as UTF-8 CSV.,ფაილის კოდირება არ არის მხარდაჭერილი. შეინახეთ UTF-8 CSV-ად.,Кодировка файла не поддерживается. Сохраните его как CSV в UTF-8.,Die Zeichenkodierung der Datei wird nicht unterstützt. Speichern Sie sie als UTF-8-CSV.,L’encodage du fichier n’est pas pris en charge. Enregistrez-le en CSV UTF-8.,,,,,,
ui.server.import.error.too_large,interface,The file is too large (5 MB at most).,ფაილი ძალიან დიდია (მაქსიმუმ 5 მბ).,Файл слишком большой (не более 5 МБ).,Die Datei ist zu groß (höchstens 5 MB).,Le fichier est trop volumineux (5 Mo au maximum).,,,,,,
ui.server.import.error.mapping,interface,Choose at least a date column and an amount (or money in / out) column.,აირჩიეთ მინიმუმ თარიღის სვეტი და თანხის (ან შემოსავლის / გასავლის) სვეტი.,Выберите хотя бы столбец даты и столбец суммы (или прихода / расхода).,Wählen Sie mindestens eine Datumsspalte und eine Betragsspalte (oder Eingang / Ausgang).,Choisissez au moins une colonne de date et une colonne de montant (ou entrées / sorties).,,,,,,
ui.empty.title,interface,How can I help today?,რით შემიძლია დაგეხმაროთ?,Чем могу помочь?,Wie kann ich helfen?,Comment puis-je vous aider ?,,,,,,
ui.empty.desc,interface,"Ask about salaries, VAT, dividends or deadlines. Answers are computed by a rules engine and cite the Tax Code.","მკითხეთ ხელფასზე, დღგ-ზე, დივიდენდზე ან ვადებზე. პასუხებს წესების ძრავი ითვლის და საგადასახადო კოდექსს ეყრდნობა.","Спросите о зарплате, НДС, дивидендах или сроках. Ответы рассчитывает механизм правил со ссылками на Налоговый кодекс.","Fragen Sie zu Gehältern, Mehrwertsteuer, Dividenden oder Fristen. Die Antworten berechnet eine Regel-Engine mit Verweis auf das Steuergesetzbuch.","Posez vos questions sur les salaires, la TVA, les dividendes ou les échéances. Les réponses sont calculées par un moteur de règles et citent le Code des impôts.",,,,,,
ui.suggestions.0.tag,interface,Salary,ხელფასი,Зарплата,Gehalt,Salaire,,,,,,
ui.suggestions.0.text,interface,"I hired someone for GEL 2,500",დავიქირავე თანამშრომელი 2500 ლარად,Я нанял сотрудника с зарплатой 2 500 лари,Ich habe jemanden für 2.500 GEL eingestellt,J’ai embauché quelqu’un pour 2 500 GEL,,,,,,
ui.suggestions.1.tag,interface,VAT,დღგ,НДС,Mehrwertsteuer,TVA,,,,,,
ui.suggestions.1.text,interface,"How much VAT is in 11,800 GEL including VAT?",რამდენია დღგ 11 800 ლარში დღგ-ს ჩათვლით?,Сколько НДС в 11 800 лари с НДС?,Wie viel MwSt. steckt in 11.800 GEL inkl. MwSt.?,Combien de TVA dans 11 800 GEL TTC ?,,,,,,
ui.suggestions.2.tag,interface,Dividends,დივიდენდი,Дивиденды,Dividenden,Dividendes,,,,,,
ui.suggestions.2.text,interface,"We want to pay 8,500 GEL in dividends",გვინდა 8 500 ლარი გავცეთ დივიდენდად,Мы хотим выплатить 8 500 лари дивидендов,Wir möchten 8.500 GEL als Dividende ausschütten,Nous voulons verser 8 500 GEL de dividendes,,,,,,
ui.suggestions.3.tag,interface,Deadlines,ვადები,Сроки,Fristen,Échéances,,,,,,
ui.suggestions.3.text,interface,What's due?,რა ვადები მაქვს?,Какие у меня сроки?,Welche Fristen habe ich?,Quelles sont mes échéances ?,,,,,,
ui.welcome.title,interface,"Welcome, {name}!","მოგესალმებით, {name}!","Добро пожаловать, {name}!","Willkommen, {name}!","Bienvenue, {name} !",{name},,,,,
ui.welcome.titleNoName,interface,Welcome!,მოგესალმებით!,Добро пожаловать!,Willkommen!,Bienvenue !,,,,,,
ui.welcome.desc,interface,"Add a company to start. The rules engine uses its details, like VAT registration, to answer your questions.","დასაწყებად დაამატეთ კომპანია. წესების ძრავი მის მონაცემებს, მაგალითად დღგ-ის რეგისტრაციას, თქვენს კითხვებზე პასუხისთვის იყენებს.","Для начала добавьте компанию. Механизм правил использует её данные, например регистрацию по НДС, чтобы отвечать на ваши вопросы.","Fügen Sie zunächst ein Unternehmen hinzu. Die Regel-Engine nutzt seine Angaben, etwa die Mehrwertsteuer-Registrierung, um Ihre Fragen zu beantworten.","Ajoutez une entreprise pour commencer. Le moteur de règles utilise ses informations, comme l’enregistrement à la TVA, pour répondre à vos questions.",,,,,,
ui.welcome.add,interface,+ Add a company,+ კომპანიის დამატება,+ Добавить компанию,+ Unternehmen hinzufügen,+ Ajouter une entreprise,,,,,,
ui.noCompany.title,interface,Add your first company,დაამატეთ პირველი კომპანია,Добавьте первую компанию,Fügen Sie Ihr erstes Unternehmen hinzu,Ajoutez votre première entreprise,,,,,,
ui.card.applies,interface,Applies,ვრცელდება,Применяется,Gilt,S’applique,,,,,,
ui.card.not_applicable,interface,Does not apply,არ ვრცელდება,Не применяется,Gilt nicht,Ne s’applique pas,,,,,,
ui.card.insufficient_data,interface,Needs info,საჭიროა ინფორმაცია,Нужны данные,Angaben fehlen,Informations requises,,,,,,
ui.card.demo,interface,Demo,დემო,Демо,Demo,Démo,,,,,,
ui.card.unverified,interface,Unverified,გადაუმოწმებელი,Не проверено,Ungeprüft,Non vérifiée,,,,,,
ui.card.verified,interface,Verified,გადამოწმებული,Проверено,Geprüft,Vérifiée,,,,,,
ui.card.demoTip,interface,"Placeholder rule, not real Georgian tax law",სანიმუშო წესი; არ არის საქართველოს რეალური კანონმდებლობა,"Условное правило, не действующее законодательство Грузии","Platzhalter-Regel, kein geltendes georgisches Steuerrecht","Règle fictive, pas le droit fiscal géorgien en vigueur",,,,,,
ui.card.unverifiedTip,interface,Taken from the Tax Code text; not yet reviewed by an accountant,აღებულია საგადასახადო კოდექსის ტექსტიდან; ბუღალტერს ჯერ არ შეუმოწმებია,Взято из текста Налогового кодекса; бухгалтер ещё не проверил,Aus dem Text des Steuergesetzbuchs übernommen; noch nicht von einem Steuerberater geprüft,Tirée du texte du Code des impôts ; pas encore vérifiée par un comptable,,,,,,
ui.card.verifiedTip,interface,Reviewed against the current law,შემოწმებულია მოქმედ კანონმდებლობასთან,Проверено по действующему законодательству,Anhand des geltenden Rechts geprüft,Vérifiée par rapport au droit en vigueur,,,,,,
ui.card.source,interface,Source,წყარო,Источник,Quelle,Source,,,,,,
ui.card.excerpt,interface,Tax Code excerpt,ამონარიდი საგადასახადო კოდექსიდან,Выдержка из Налогового кодекса,Auszug aus dem Steuergesetzbuch,Extrait du Code des impôts,,,,,,
ui.card.how,interface,How this was worked out,როგორ დაითვალა,Как это рассчитано,So wurde gerechnet,Détail du calcul,,,,,,
ui.card.rule,interface,Rule,წესი,Правило,Regel,Règle,,,,,,
ui.card.openMatsne,interface,open on Matsne ↗,Matsne-ზე ნახვა ↗,открыть на Matsne ↗,auf Matsne öffnen ↗,ouvrir sur Matsne ↗,,,,,,
ui.card.publication,interface,publication,პუბლიკაცია,редакция,Fassung,version,,,,,,
ui.card.otherLanguage,interface, (English text), (ინგლისური ტექსტი), (текст на английском), (englischer Text), (texte en anglais),,,,,,
ui.card.currency,interface,GEL,ლარი,лари,GEL,GEL,,,,,,
ui.source.claude,interface,Claude,Claude,Claude,Claude,Claude,,,,,,
ui.source.ollama,interface,local model,ლოკალური მოდელი,локальная модель,lokales Modell,modèle local,,,,,,
ui.source.keyword,interface,keywords,საკვანძო სიტყვები,ключевые слова,Stichwörter,mots-clés,,,,,,
ui.source.template,interface,template,შაბლონი,шаблон,Vorlage,modèle de réponse,,,,,,
ui.error.generic,interface,Something went wrong: {message},რაღაც შეცდომა მოხდა: {message},Что-то пошло не так: {message},Etwas ist schiefgelaufen: {message},Une erreur s’est produite : {message},{message},,,,,
ui.error.openConversation,interface,Couldn't open that conversation: {message},საუბრის გახსნა ვერ მოხერხდა: {message},Не удалось открыть диалог: {message},Unterhaltung konnte nicht geöffnet werden: {message},Impossible d’ouvrir cette conversation : {message},{message},,,,,
ui.error.delete,interface,Couldn't delete: {message},წაშლა ვერ მოხერხდა: {message},Не удалось удалить: {message},Löschen fehlgeschlagen: {message},Suppression impossible : {message},{message},,,,,
ui.error.signInAgain,interface,Please sign in again.,"გთხოვთ, ხელახლა შეხვიდეთ.","Пожалуйста, войдите снова.",Bitte melden Sie sich erneut an.,Veuillez vous reconnecter.,,,,,,
ui.error.requestFailed,interface,Request failed ({status}),მოთხოვნა ვერ შესრულდა ({status}),Ошибка запроса ({status}),Anfrage fehlgeschlagen ({status}),La requête a échoué ({status}),{status},,,,,
ui.server.Wrong email or password,interface,Wrong email or password,ელფოსტა ან პაროლი არასწორია,Неверная эл. почта или пароль,E-Mail oder Passwort ist falsch,E-mail ou mot de passe incorrect,,,,,,
ui.server.An account with this email already exists,interface,An account with this email already exists,ამ ელფოსტით ანგარიში უკვე არსებობს,Аккаунт с этой эл. почтой уже существует,Mit dieser E-Mail-Adresse gibt es bereits ein Konto,Un compte existe déjà avec cet e-mail,,,,,,
ui.server.You already have a company with this tax_id,interface,You already have a company with this tax ID,ამ საიდენტიფიკაციო კოდით კომპანია უკვე გაქვთ,У вас уже есть компания с этим идентификационным кодом,Sie haben bereits ein Unternehmen mit dieser Steuernummer,Vous avez déjà une entreprise avec ce numéro fiscal,,,,,,
ui.server.Enter a valid email address,interface,Enter a valid email address,მიუთითეთ სწორი ელფოსტა,Укажите корректный адрес эл. почты,Geben Sie eine gültige E-Mail-Adresse ein,Saisissez une adresse e-mail valide,,,,,,
ui.server.Not signed in,interface,Please sign in again.,"გთხოვთ, ხელახლა შეხვიდეთ.","Пожалуйста, войдите снова.",Bitte melden Sie sich erneut an.,Veuillez vous reconnecter.,,,,,,
ui.server.RS.ge lookup is not set up,interface,"RS.ge lookup isn't set up yet: add an RS.ge service user to .env (RS_SERVICE_USER, RS_SERVICE_PASSWORD).","RS.ge-ზე ძებნა ჯერ არ არის გამართული: .env-ში დაამატეთ RS.ge-ის სერვისის მომხმარებელი (RS_SERVICE_USER, RS_SERVICE_PASSWORD).","Поиск на RS.ge ещё не настроен: добавьте сервисного пользователя RS.ge в .env (RS_SERVICE_USER, RS_SERVICE_PASSWORD).","Die RS.ge-Abfrage ist noch nicht eingerichtet: Tragen Sie einen RS.ge-Servicebenutzer in .env ein (RS_SERVICE_USER, RS_SERVICE_PASSWORD).","La recherche RS.ge n’est pas encore configurée : ajoutez un utilisateur de service RS.ge dans .env (RS_SERVICE_USER, RS_SERVICE_PASSWORD).",,,,,,
ui.server.RS.ge rejected the service user,interface,RS.ge didn't accept the service user. Check RS_SERVICE_USER and RS_SERVICE_PASSWORD in .env.,RS.ge-მ სერვისის მომხმარებელი არ მიიღო. შეამოწმეთ RS_SERVICE_USER და RS_SERVICE_PASSWORD .env-ში.,RS.ge не принял сервисного пользователя. Проверьте RS_SERVICE_USER и RS_SERVICE_PASSWORD в .env.,RS.ge hat den Servicebenutzer abgelehnt. Prüfen Sie RS_SERVICE_USER und RS_SERVICE_PASSWORD in .env.,RS.ge a refusé l’utilisateur de service. Vérifiez RS_SERVICE_USER et RS_SERVICE_PASSWORD dans .env.,,,,,,
